dropoutRate,kernLength,F1,D,F2,bandpass,amplitude_magnification,accuracy
0.25,16,8,2,16,"[4, 40]",1000,0.5416666666666667
0.25,16,8,2,16,"[4, 40]",2000,0.59375
0.25,16,8,2,16,"[8, 30]",1000,0.5520833333333334
0.25,16,8,2,16,"[8, 30]",2000,0.5381944444444444
0.25,16,8,2,32,"[4, 40]",1000,0.5972222222222222
0.25,16,8,2,32,"[4, 40]",2000,0.5520833333333333
0.25,16,8,2,32,"[8, 30]",1000,0.53125
0.25,16,8,2,32,"[8, 30]",2000,0.5694444444444444
0.25,16,8,4,16,"[4, 40]",1000,0.5555555555555556
0.25,16,8,4,16,"[4, 40]",2000,0.5277777777777778
0.25,16,8,4,16,"[8, 30]",1000,0.5590277777777777
0.25,16,8,4,16,"[8, 30]",2000,0.5486111111111112
0.25,16,8,4,32,"[4, 40]",1000,0.6215277777777778
0.25,16,8,4,32,"[4, 40]",2000,0.5625
0.25,16,8,4,32,"[8, 30]",1000,0.5798611111111112
0.25,16,8,4,32,"[8, 30]",2000,0.5347222222222222
0.25,16,16,2,16,"[4, 40]",1000,0.5902777777777778
0.25,16,16,2,16,"[4, 40]",2000,0.5625
0.25,16,16,2,16,"[8, 30]",1000,0.5416666666666667
0.25,16,16,2,16,"[8, 30]",2000,0.5659722222222223
0.25,16,16,2,32,"[4, 40]",1000,0.5798611111111112
0.25,16,16,2,32,"[4, 40]",2000,0.5868055555555556
0.25,16,16,2,32,"[8, 30]",1000,0.5381944444444444
0.25,16,16,2,32,"[8, 30]",2000,0.5694444444444444
0.25,16,16,4,16,"[4, 40]",1000,0.59375
0.25,16,16,4,16,"[4, 40]",2000,0.59375
0.25,16,16,4,16,"[8, 30]",1000,0.5381944444444444
0.25,16,16,4,16,"[8, 30]",2000,0.5659722222222222
0.25,16,16,4,32,"[4, 40]",1000,0.5833333333333333
0.25,16,16,4,32,"[4, 40]",2000,0.5729166666666666
0.25,16,16,4,32,"[8, 30]",1000,0.6076388888888888
0.25,16,16,4,32,"[8, 30]",2000,0.5451388888888888
0.25,32,8,2,16,"[4, 40]",1000,0.5486111111111112
0.25,32,8,2,16,"[4, 40]",2000,0.6145833333333334
0.25,32,8,2,16,"[8, 30]",1000,0.5555555555555556
0.25,32,8,2,16,"[8, 30]",2000,0.5833333333333334
